epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,276.154,1.22154,0.9863,1.27195,0.46066,0.04082,0.02276,0.01014,1.98267,4.49862,1.416,0.0017294,0.0017294,0.0017294
43,282.843,1.17281,1.037,1.272,0.28304,0.04082,0.02171,0.01147,1.83088,4.27311,1.36636,0.0017228,0.0017228,0.0017228
44,289.446,1.19185,1.04089,1.27193,0.3913,0.04082,0.02614,0.01679,1.80323,3.21013,1.35697,0.0017162,0.0017162,0.0017162
45,296.028,1.09814,0.97296,1.24292,0.2388,0.06122,0.02977,0.01626,1.96926,3.1334,1.42062,0.0017096,0.0017096,0.0017096
46,302.646,1.18626,1.04466,1.27372,0.29151,0.06122,0.02784,0.01321,2.18997,4.11709,1.49458,0.001703,0.001703,0.001703
47,309.235,1.09217,0.87591,1.2115,0.38191,0.04082,0.02546,0.01363,1.87731,3.80375,1.33606,0.0016964,0.0016964,0.0016964
48,315.834,1.13159,0.95417,1.25743,0.20855,0.04082,0.03056,0.01785,2.63105,3.4415,2.08365,0.0016898,0.0016898,0.0016898
49,322.422,1.11003,0.95361,1.19397,0.21398,0.04082,0.01861,0.00995,2.66427,3.85857,2.18601,0.0016832,0.0016832,0.0016832
50,329.003,1.08225,0.95584,1.22302,0.57985,0.04082,0.03033,0.01414,2.42009,4.27686,1.92135,0.0016766,0.0016766,0.0016766
51,335.544,1.06496,0.8652,1.19334,0.20646,0.04082,0.01773,0.01085,2.23762,5.70565,1.71103,0.00167,0.00167,0.00167
52,342.109,1.04045,0.8505,1.19942,0.22818,0.04082,0.01428,0.00884,1.78993,5.04344,1.38787,0.0016634,0.0016634,0.0016634
53,348.631,1.10841,0.85571,1.23619,0.19374,0.04082,0.01775,0.01143,1.71203,4.82171,1.34197,0.0016568,0.0016568,0.0016568
54,355.184,1.12015,0.91214,1.23418,0.46959,0.04082,0.02281,0.01169,1.69676,4.54843,1.3208,0.0016502,0.0016502,0.0016502
55,361.736,1.06246,0.82431,1.21732,0.48358,0.04082,0.02294,0.01216,1.81042,4.04784,1.38056,0.0016436,0.0016436,0.0016436
56,368.268,1.08371,0.90227,1.22345,0.62043,0.04082,0.03041,0.01777,1.67412,3.7014,1.34149,0.001637,0.001637,0.001637
57,374.839,1.12433,0.87462,1.26271,0.6294,0.04082,0.03027,0.01768,1.65486,4.15346,1.34276,0.0016304,0.0016304,0.0016304
58,381.416,1.00565,0.83169,1.17641,0.26353,0.04082,0.01811,0.01073,1.93481,7.89478,1.51729,0.0016238,0.0016238,0.0016238
59,387.972,0.99311,0.85282,1.19161,0.04445,0.04082,0.00326,0.00215,2.51033,9.95314,1.82029,0.0016172,0.0016172,0.0016172
60,394.509,0.94446,0.80433,1.15372,0.15035,0.04082,0.00833,0.00547,2.66425,7.21818,1.87382,0.0016106,0.0016106,0.0016106
61,401.047,0.99905,0.78124,1.1788,0.44057,0.04082,0.02272,0.01303,2.86059,5.21147,1.98489,0.001604,0.001604,0.001604
62,407.552,1.00937,0.82012,1.17407,0.63777,0.04082,0.03019,0.01759,2.50479,5.42061,1.80246,0.0015974,0.0015974,0.0015974
63,414.147,1.01814,0.85946,1.18791,0.70651,0.04082,0.04523,0.02634,2.02504,7.91086,1.65526,0.0015908,0.0015908,0.0015908
64,420.848,1.00374,0.78646,1.16925,0.78365,0.04082,0.04518,0.02633,2.35423,8.89935,1.78332,0.0015842,0.0015842,0.0015842
65,427.397,0.97825,0.79719,1.17379,0.60015,0.04082,0.03852,0.02675,2.64632,9.21766,1.93131,0.0015776,0.0015776,0.0015776
66,433.965,0.93025,0.79641,1.14473,0.39546,0.04082,0.02273,0.0161,3.18312,7.87345,2.06633,0.001571,0.001571,0.001571
67,440.552,1.03061,0.81248,1.18998,0.28176,0.04082,0.01532,0.00842,3.26752,6.7829,2.03215,0.0015644,0.0015644,0.0015644
68,447.152,1.06695,0.81392,1.19071,0.32091,0.04082,0.01539,0.00952,2.62112,6.9134,1.84754,0.0015578,0.0015578,0.0015578
69,453.643,1.02127,0.89083,1.18896,0.37715,0.04082,0.02262,0.01609,2.34246,7.37926,1.74451,0.0015512,0.0015512,0.0015512
70,460.169,0.92809,0.77708,1.12358,0.33035,0.04082,0.03352,0.02164,2.31044,7.03939,1.59798,0.0015446,0.0015446,0.0015446
71,466.73,0.90859,0.76272,1.11706,0.36442,0.04082,0.03385,0.02442,1.51688,3.43568,1.2552,0.001538,0.001538,0.001538
72,473.28,1.01222,0.77525,1.20317,0.26429,0.04082,0.0323,0.02691,1.39902,3.83631,1.24384,0.0015314,0.0015314,0.0015314
73,479.788,0.95324,0.74837,1.17916,0.38118,0.04082,0.03531,0.02616,1.57949,5.23703,1.266,0.0015248,0.0015248,0.0015248
74,486.354,0.91161,0.77431,1.16477,0.63508,0.04082,0.04526,0.02761,2.04648,6.9117,1.32752,0.0015182,0.0015182,0.0015182
75,492.947,1.0022,0.79405,1.20845,0.563,0.04082,0.04518,0.02761,1.76553,11.9948,1.29917,0.0015116,0.0015116,0.0015116
76,499.537,1.01833,0.80279,1.17515,0.46872,0.04082,0.04517,0.0231,1.85412,17.4041,1.35749,0.001505,0.001505,0.001505
77,506.087,0.998,0.77281,1.18983,0.61531,0.04082,0.04521,0.0231,2.43907,8.59539,1.54907,0.0014984,0.0014984,0.0014984
78,512.66,1.01872,0.76339,1.19287,0.64493,0.04082,0.03117,0.0167,2.67216,3.75182,1.82238,0.0014918,0.0014918,0.0014918
79,519.212,1.02084,0.77331,1.17441,0.49336,0.04082,0.03055,0.01961,2.0804,4.28565,1.58223,0.0014852,0.0014852,0.0014852
80,525.741,1.05674,0.772,1.19225,0.62578,0.04082,0.04537,0.02641,1.62445,11.626,1.29558,0.0014786,0.0014786,0.0014786
81,532.256,0.91912,0.77425,1.15305,0.55226,0.04082,0.04538,0.02187,1.58819,16.9867,1.29165,0.001472,0.001472,0.001472
82,538.842,1.02248,0.81815,1.15523,0.61132,0.04082,0.03865,0.0201,1.73716,8.98806,1.36414,0.0014654,0.0014654,0.0014654
83,545.423,0.99019,0.79175,1.19989,0.90884,0.04082,0.04575,0.02795,1.96292,3.47097,1.52197,0.0014588,0.0014588,0.0014588
84,551.986,0.84214,0.69093,1.10722,0.97864,0.04082,0.04715,0.02619,2.02052,3.0164,1.51571,0.0014522,0.0014522,0.0014522
85,558.532,0.97839,0.78826,1.16461,0.97663,0.04082,0.0461,0.0256,1.91201,2.98718,1.44374,0.0014456,0.0014456,0.0014456
86,565.143,0.87733,0.70022,1.10993,0.96339,0.04082,0.04527,0.02968,1.83317,3.86847,1.38855,0.001439,0.001439,0.001439
87,571.71,0.90346,0.77109,1.13827,0.8941,0.04082,0.04525,0.0284,1.74884,5.19963,1.32209,0.0014324,0.0014324,0.0014324
88,578.301,0.93061,0.69252,1.15897,0.60716,0.04082,0.03033,0.01943,1.60441,5.89688,1.17369,0.0014258,0.0014258,0.0014258
89,584.841,0.85933,0.68947,1.08564,0.48252,0.04082,0.03047,0.01776,1.65893,5.2702,1.15515,0.0014192,0.0014192,0.0014192
90,591.406,0.92531,0.71481,1.17672,0.15534,0.06122,0.02499,0.01571,1.62976,3.78429,1.11643,0.0014126,0.0014126,0.0014126
91,597.934,0.90408,0.73328,1.12828,0.40582,0.06122,0.04033,0.02339,1.44763,4.15406,1.08429,0.001406,0.001406,0.001406
92,604.511,0.86945,0.73095,1.08423,0.31351,0.06122,0.03781,0.01955,1.79132,5.18613,1.18208,0.0013994,0.0013994,0.0013994
93,611.082,0.91716,0.74789,1.12854,0.24271,0.06122,0.03652,0.01871,1.9397,4.95433,1.24249,0.0013928,0.0013928,0.0013928
94,617.679,0.85584,0.66196,1.09078,0.16322,0.06122,0.03532,0.01608,2.04636,3.81531,1.28753,0.0013862,0.0013862,0.0013862
95,624.282,0.90602,0.71834,1.09883,0.63258,0.04082,0.03982,0.01988,1.64489,4.34116,1.19135,0.0013796,0.0013796,0.0013796
96,630.875,0.91486,0.6908,1.16515,0.85718,0.04082,0.04544,0.02378,1.51319,4.98741,1.19149,0.001373,0.001373,0.001373
97,637.464,0.82457,0.64516,1.09138,0.64781,0.04082,0.04541,0.02373,1.55636,4.64533,1.22992,0.0013664,0.0013664,0.0013664
98,644.048,0.86092,0.67455,1.11014,0.63373,0.04082,0.0305,0.01302,1.72114,4.58225,1.27349,0.0013598,0.0013598,0.0013598
99,650.597,0.9022,0.70201,1.13977,0.63799,0.04082,0.03096,0.01188,1.9786,3.3969,1.34449,0.0013532,0.0013532,0.0013532
100,657.173,0.90317,0.68628,1.14126,0.63164,0.04082,0.03109,0.01374,2.08523,3.78402,1.53226,0.0013466,0.0013466,0.0013466
101,663.704,0.87522,0.6907,1.12185,0.64793,0.04082,0.03088,0.01365,1.99164,3.98243,1.52959,0.00134,0.00134,0.00134
102,670.308,0.86262,0.70007,1.12804,0.61854,0.04082,0.03879,0.01804,2.02766,4.40521,1.44167,0.0013334,0.0013334,0.0013334
103,676.903,0.89639,0.67112,1.11838,0.62422,0.04082,0.03878,0.02056,1.87758,4.26506,1.40694,0.0013268,0.0013268,0.0013268
104,683.471,0.90241,0.64349,1.11787,0.59433,0.04082,0.03877,0.023,2.10862,5.0959,1.56305,0.0013202,0.0013202,0.0013202
105,689.991,0.87187,0.66029,1.11738,0.57689,0.04082,0.03871,0.02298,2.18228,5.67643,1.68762,0.0013136,0.0013136,0.0013136
106,696.568,0.86593,0.63754,1.10308,0.51391,0.04082,0.03862,0.02429,2.46857,7.05273,1.80539,0.001307,0.001307,0.001307
107,703.137,0.8741,0.63142,1.12953,0.50869,0.04082,0.03862,0.02428,2.39553,6.07755,1.64423,0.0013004,0.0013004,0.0013004
108,709.715,0.81397,0.63955,1.06319,0.59586,0.04082,0.03852,0.02294,2.12714,5.70764,1.44486,0.0012938,0.0012938,0.0012938
109,716.205,0.81866,0.60432,1.09329,0.61909,0.04082,0.03854,0.02044,2.17317,5.4875,1.47817,0.0012872,0.0012872,0.0012872
110,722.751,0.84074,0.68136,1.10454,0.61814,0.04082,0.03861,0.02043,2.54997,6.61129,1.72598,0.0012806,0.0012806,0.0012806
111,729.271,0.90827,0.72166,1.13312,0.63965,0.04082,0.04528,0.02309,2.64596,10.3895,1.71283,0.001274,0.001274,0.001274
112,735.89,0.86963,0.69225,1.13987,0.69483,0.04082,0.04538,0.02313,2.28779,6.3477,1.47023,0.0012674,0.0012674,0.0012674
113,742.478,0.84049,0.62234,1.07734,0.65806,0.04082,0.04556,0.02523,1.95316,4.10028,1.30454,0.0012608,0.0012608,0.0012608
114,749.094,0.86459,0.67857,1.12201,0.52172,0.06122,0.05091,0.02808,1.73757,2.07467,1.14791,0.0012542,0.0012542,0.0012542
115,755.711,0.85139,0.63821,1.10066,0.64686,0.06122,0.05571,0.03271,1.67323,1.89376,1.12875,0.0012476,0.0012476,0.0012476
116,762.288,0.81183,0.63498,1.09733,0.23109,0.06122,0.04386,0.02519,1.71461,2.84691,1.14083,0.001241,0.001241,0.001241
117,768.854,0.81734,0.64525,1.09261,0.64379,0.04082,0.04137,0.02489,1.67696,3.49201,1.11056,0.0012344,0.0012344,0.0012344
118,775.446,0.7868,0.55664,1.064,0.64217,0.04082,0.03945,0.02617,1.45388,3.91904,1.03294,0.0012278,0.0012278,0.0012278
119,782.001,0.86121,0.66321,1.10609,0.64019,0.04082,0.03943,0.0275,1.52757,3.05496,1.07035,0.0012212,0.0012212,0.0012212
120,788.601,0.82115,0.6273,1.07162,0.64401,0.04082,0.04135,0.02595,1.68037,2.32311,1.22383,0.0012146,0.0012146,0.0012146
121,795.262,0.80464,0.60364,1.09022,0.64464,0.04082,0.04478,0.028,1.66807,2.32871,1.27173,0.001208,0.001208,0.001208
122,801.887,0.80505,0.61082,1.07826,0.6469,0.04082,0.0444,0.02824,1.54557,2.49846,1.2754,0.0012014,0.0012014,0.0012014
123,808.424,0.74271,0.58706,1.05516,0.63528,0.04082,0.04045,0.02956,1.36125,2.61261,1.21642,0.0011948,0.0011948,0.0011948
124,815.028,0.77049,0.59989,1.04749,0.63026,0.04082,0.03923,0.02732,1.42074,3.39357,1.22985,0.0011882,0.0011882,0.0011882
125,821.58,0.80951,0.60648,1.06918,0.62188,0.04082,0.03903,0.02721,1.44171,3.90344,1.22908,0.0011816,0.0011816,0.0011816
126,828.139,0.83801,0.61238,1.07991,0.62358,0.04082,0.03909,0.02333,1.49809,4.0603,1.25241,0.001175,0.001175,0.001175
